"","likelihood","bart","expr","rank_size"
"1",0.519200162346664,0.135,-0.141398742291472,4
"2",0.146046646469245,0.478,-0.208291105746145,6
"3",3.52357938838034e-05,0.195,-0.751321900813635,10
"4",7.69164002630902e-07,0.915,-0.397502034935217,9
"5",1.49268865874977e-06,0.945,1.14803168141329,1
"6",0.102220835002578,0.245,-2.01493619281156,15
"7",0.897165051968717,0.891,-1.33372929651635,13
"8",0.175657161186412,0.88,-1.54289863359397,14
"9",2.54151198791647e-05,0.648,-0.891709200270524,11
"10",1.36510688731481e-11,0.906,-0.184714052968965,5
"11",1.86097765939236e-07,0.983,1.03469656320293,2
"12",3.48280858486729e-19,0.49,-0.313795750531008,7
"13",0.0889850703895461,0.821,-0.319850523831403,8
"14",3.22036504136076e-05,0.955,-1.04584198033026,12
"15",0.00011251622962504,0.442,0.330965575420708,3
